Unnamed: 0	SLL10_LV	SLL10_RAA	SLL13_LV	SLL13_RAA	SLL18_LV	SLL18_RAA	SLL18_RV	SLL20_LV
ENSG00000165646	0.0	0.0	2.0	3.0	2.0	4.0	10.0	11.0
ENSG00000165650	917.0	357.0	872.0	411.0	840.0	796.0	820.0	804.0
ENSG00000165655	141.0	361.0	84.0	226.0	96.0	606.0	51.0	80.0
ENSG00000165660	1031.0	199.0	601.0	417.0	774.0	647.0	527.0	592.0
ENSG00000165661	281.0	58.0	217.0	80.0	375.0	229.0	295.0	397.0
ENSG00000165669	1305.0	1760.0	1134.0	1013.0	1508.0	2419.0	872.0	1378.0
ENSG00000165671	2432.0	441.0	2069.0	493.0	1938.0	1390.0	1679.0	2312.0
ENSG00000165672	14075.0	9309.0	13165.0	5188.0	17128.0	10869.0	9712.0	12604.0
ENSG00000165675	656.0	214.0	560.0	378.0	740.0	717.0	428.0	669.0
ENSG00000165678	29263.0	9620.0	25362.0	12283.0	29508.0	16253.0	16588.0	26486.0
ENSG00000165682	0.0	3.0	0.0	0.0	1.0	0.0	1.0	0.0
ENSG00000165684	195.0	43.0	305.0	91.0	207.0	193.0	166.0	279.0
ENSG00000165685	0.0	2.0	0.0	4.0	0.0	3.0	0.0	0.0
ENSG00000165688	3679.0	921.0	3445.0	1301.0	3767.0	1671.0	1926.0	3575.0
ENSG00000165689	570.0	350.0	404.0	338.0	397.0	394.0	272.0	548.0
ENSG00000165694	0.0	0.0	1.0	0.0	8.0	0.0	12.0	31.0
ENSG00000165695	0.0	2.0	5.0	6.0	6.0	9.0	3.0	7.0
ENSG00000165698	369.0	217.0	246.0	456.0	274.0	390.0	183.0	218.0
ENSG00000165699	2208.0	463.0	2127.0	507.0	2867.0	912.0	2173.0	2726.0
ENSG00000165702	8.0	7.0	5.0	2.0	1.0	9.0	2.0	6.0
ENSG00000165704	773.0	845.0	690.0	849.0	900.0	1324.0	440.0	640.0
ENSG00000165714	361.0	119.0	207.0	164.0	284.0	296.0	168.0	268.0
ENSG00000165716	119.0	178.0	242.0	199.0	122.0	251.0	42.0	250.0
ENSG00000165724	302.0	144.0	279.0	179.0	236.0	219.0	154.0	310.0
ENSG00000165730	5.0	12.0	13.0	15.0	5.0	37.0	10.0	2.0
ENSG00000165731	323.0	5.0	289.0	20.0	214.0	29.0	213.0	68.0
ENSG00000165732	1656.0	660.0	1713.0	736.0	1885.0	1132.0	1251.0	1866.0
ENSG00000165733	1943.0	303.0	1642.0	614.0	1833.0	872.0	1029.0	1832.0
ENSG00000165752	161.0	73.0	102.0	35.0	133.0	142.0	74.0	214.0
ENSG00000165757	2572.0	716.0	3563.0	1249.0	1683.0	1971.0	1973.0	2839.0
ENSG00000165775	10393.0	11178.0	7572.0	5449.0	10055.0	10706.0	4272.0	6979.0
ENSG00000165782	841.0	583.0	680.0	355.0	692.0	645.0	427.0	919.0
ENSG00000165792	1177.0	296.0	911.0	229.0	1192.0	377.0	478.0	1113.0
ENSG00000165794	0.0	0.0	0.0	8.0	1.0	6.0	0.0	0.0
ENSG00000165795	14556.0	5913.0	12917.0	4586.0	13726.0	7211.0	8492.0	16017.0
ENSG00000165799	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0
ENSG00000165801	1291.0	363.0	1260.0	504.0	967.0	957.0	771.0	2012.0
ENSG00000165802	506.0	187.0	628.0	415.0	371.0	490.0	211.0	478.0
ENSG00000165804	530.0	382.0	750.0	398.0	455.0	837.0	343.0	760.0
ENSG00000165805	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
ENSG00000165806	427.0	150.0	422.0	230.0	234.0	245.0	179.0	694.0
ENSG00000165807	13.0	17.0	31.0	35.0	20.0	35.0	9.0	12.0
ENSG00000165810	1597.0	205.0	2482.0	432.0	1419.0	515.0	1085.0	2120.0
ENSG00000165813	927.0	625.0	811.0	444.0	994.0	1071.0	860.0	936.0
ENSG00000165816	0.0	0.0	1.0	0.0	2.0	0.0	1.0	1.0
ENSG00000165819	1189.0	284.0	817.0	313.0	1094.0	431.0	637.0	848.0
ENSG00000165821	286.0	133.0	260.0	268.0	238.0	433.0	198.0	228.0
ENSG00000165828	0.0	1.0	2.0	1.0	0.0	0.0	2.0	0.0
ENSG00000165832	635.0	881.0	843.0	564.0	1180.0	1273.0	1089.0	1035.0
ENSG00000165837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000165861	1089.0	262.0	839.0	356.0	1026.0	526.0	736.0	1053.0
ENSG00000165863	0.0	15.0	17.0	16.0	5.0	10.0	3.0	0.0
ENSG00000165868	945.0	345.0	723.0	289.0	711.0	620.0	617.0	555.0
ENSG00000165874	23.0	1.0	5.0	0.0	0.0	3.0	1.0	0.0
ENSG00000165879	176.0	114.0	163.0	129.0	130.0	234.0	67.0	164.0
ENSG00000165886	949.0	384.0	750.0	435.0	570.0	625.0	296.0	1041.0
ENSG00000165887	3604.0	117.0	8725.0	415.0	23579.0	142.0	8272.0	12848.0
ENSG00000165891	14.0	4.0	1.0	5.0	0.0	22.0	5.0	11.0
ENSG00000165895	345.0	122.0	397.0	148.0	446.0	299.0	466.0	512.0
ENSG00000165898	1441.0	1225.0	799.0	538.0	857.0	1210.0	398.0	923.0
ENSG00000165899	30.0	426.0	20.0	282.0	23.0	790.0	19.0	5.0
ENSG00000165905	0.0	4.0	34.0	5.0	0.0	6.0	0.0	0.0
ENSG00000165912	5379.0	1063.0	6265.0	1769.0	6954.0	2059.0	4093.0	8801.0
ENSG00000165914	1602.0	727.0	1486.0	993.0	1508.0	1506.0	1136.0	1796.0
ENSG00000165915	1970.0	772.0	1941.0	771.0	1421.0	1217.0	1131.0	2595.0
ENSG00000165916	7432.0	4189.0	5404.0	2490.0	6576.0	4832.0	3551.0	6042.0
ENSG00000165917	304.0	0.0	291.0	8.0	201.0	2.0	118.0	257.0
ENSG00000165923	1.0	9.0	3.0	0.0	2.0	7.0	3.0	0.0
ENSG00000165929	100.0	207.0	151.0	245.0	105.0	474.0	129.0	61.0
ENSG00000165934	1834.0	705.0	1570.0	881.0	1595.0	1658.0	1464.0	1686.0
ENSG00000165935	6.0	5.0	1.0	1.0	0.0	12.0	1.0	0.0
ENSG00000165943	5981.0	2766.0	4643.0	2551.0	5347.0	4436.0	2847.0	4850.0
ENSG00000165948	298.0	323.0	284.0	132.0	306.0	386.0	131.0	303.0
ENSG00000165949	4455.0	2512.0	4903.0	1511.0	3207.0	2711.0	1395.0	4794.0
ENSG00000165953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
